timestamp,artist,track,album,source,duration_seconds
#Add your data here 
2026-02-26T19:03:47.496143,Wet Leg,Pond Song,,SomaFM Indie Pop,180
2026-02-26T19:06:58.751431,Wilson's Prom,Shapeshifter,,SomaFM Indie Pop,180
2026-02-26T19:10:55.011981,Palehound,Dry Food,,SomaFM Indie Pop,180
2026-02-26T19:14:51.251425,Afterhourless,"Coriolis, Centrifugal Love",,SomaFM Indie Pop,180
2026-02-26T19:19:32.493811,Slow Pulp,Broadview,,SomaFM Indie Pop,180
2026-02-26T19:23:28.749721,Ellur,The World Is Not An Oyster,,SomaFM Indie Pop,180
2026-02-26T19:26:51.250415,Anna Burch,Quit The Curse,,SomaFM Indie Pop,180
2026-02-26T19:29:39.998940,Beliefs,Morning Light,,SomaFM Indie Pop,180
2026-02-26T19:33:13.739421,New Pornographers,Colosseums,,SomaFM Indie Pop,180
2026-02-26T19:36:13.740826,Twilight Sad,There's A Girl In The Corner,,SomaFM Indie Pop,180
2026-02-26T19:40:10.010259,Mayflies Usa,Calling The Bad Ones Home,,SomaFM Indie Pop,180
2026-02-26T19:42:13.754887,Rocket,Number One Fan,,SomaFM Indie Pop,180
2026-02-26T19:45:58.751570,Amy Millan,Untethered,,SomaFM Indie Pop,180
2026-02-26T19:49:54.998330,Iron & Wine,Last Of Your Rock 'n' Roll Heroes,,SomaFM Indie Pop,180
2026-02-26T19:53:06.244381,Low,Walk Into The Sea,,SomaFM Indie Pop,180
2026-02-26T19:55:55.014634,Savoir Adore,Holding On Together (Radio Edi,,SomaFM Indie Pop,180
2026-02-26T19:59:06.251045,Radical Face,Dreamcatcher,,SomaFM Indie Pop,180
2026-02-26T20:03:02.499420,Clientele,Trains In The Night,,SomaFM Indie Pop,180
2026-02-26T20:07:21.250820,Jens Lekman,I Saw Her At The Anti War Demonstration,,SomaFM Indie Pop,180
2026-02-26T20:10:32.477986,Mr Little Jeans,Lady Luck,,SomaFM Indie Pop,180
2026-02-26T20:14:06.250585,Starfucker,German Love,,SomaFM Indie Pop,180
2026-02-26T20:17:28.738918,Film School,In Two,,SomaFM Indie Pop,180
2026-02-26T20:21:02.478233,Juliana Hatfield,Long Slow Nervous Breakdown,,SomaFM Indie Pop,180
